id_cliente,edad,genero,saldo,num_productos,tiene_tarjeta_credito,salario_estimado,antiguedad_años,puntaje_credito,abandono
1,42,M,125430.50,2,Sí,85000.0,5,720,No
2,35,Femenino,89200.75,1,Si,62000.0,3,680,No
3,28,male,45000.00,2,YES,45000.0,1,590,Sí
4,55,F,,3,no,110000.0,8,750,No
5,62,Masculino,210000.00,1,Sí,95000.0,10,800,1
6,31,,75000.50,2,Si,55000.0,2,640,No
7,150,M,30000.00,1,NO,38000.0,1,610,Sí
8,45,female,98000.25,3,Sí,,6,730,No
9,38,F,156000.00,2,no,78000.0,4,0,Sí
10,29,M,-5000.00,1,Si,42000.0,2,560,No
11,52,Femenino,88000.00,2,Sí,92000.0,7,710,No
12,41,male,134000.75,3,YES,75000.0,5,690,0
13,33,F,67000.00,1,Si,58000.0,3,625,No
14,47,Masculino,,2,Sí,88000.0,6,760,No
15,26,M,23000.50,1,no,35000.0,1,545,Sí
16,59,female,195000.00,3,Sí,105000.0,12,820,No
17,36,F,81000.25,2,Si,67000.0,4,655,No
18,43,M,112000.00,2,YES,82000.0,5,700,1
19,50,Femenino,145000.00,1,Sí,98000.0,8,775,No
20,28,male,,2,no,44000.0,2,580,No
21,39,M,93000.50,3,Si,72000.0,4,670,No
22,65,F,225000.00,2,Sí,115000.0,15,840,0
23,34,Masculino,58000.00,1,YES,53000.0,3,615,Sí
24,48,female,167000.25,3,Si,,7,740,No
25,31,F,42000.00,1,no,47000.0,2,570,Sí
26,56,M,188000.00,2,Sí,102000.0,9,790,No
27,23,Femenino,18000.75,1,Si,32000.0,1,525,No
28,44,male,120000.00,2,YES,84000.0,5,715,No
29,37,F,,1,Sí,69000.0,4,648,Sí
30,61,Masculino,205000.00,3,no,112000.0,11,815,No
31,27,M,35000.50,2,Si,40000.0,1,555,No
32,53,female,175000.00,2,Sí,96000.0,8,770,1
33,40,F,95000.00,1,YES,74000.0,4,685,No
34,46,M,148000.25,3,Si,89000.0,6,725,No
35,32,Femenino,,2,no,50000.0,2,600,No
36,58,male,198000.00,2,Sí,108000.0,10,810,No
37,35,F,78000.50,1,Si,63000.0,3,645,Sí
38,42,Masculino,115000.00,3,YES,83000.0,5,705,No
39,49,female,162000.00,2,Sí,,7,755,No
40,30,M,52000.75,1,no,46000.0,2,575,Sí
41,57,F,191000.00,3,Sí,103000.0,10,800,No
42,24,Masculino,14000.50,1,Si,30000.0,1,510,No
43,36,F,999,2,YES,65000.0,3,999,No
44,51,male,155000.00,2,no,93000.0,7,765,
45,44,Femenino,128000.75,3,Sí,86000.0,5,718,No
46,42,M,125430.50,2,Sí,85000.0,5,720,No
47,35,Femenino,89200.75,1,Si,62000.0,3,680,No
48,28,male,45000.00,2,YES,45000.0,1,590,Sí
49,55,F,,3,no,110000.0,8,750,No
50,38,F,156000.00,2,no,78000.0,4,0,Sí
