Modelo,Accuracy,Precision,Recall,F1-score,VN,FP,FN,VP
testing con TODO,0.8303459251193567,0.8034177215189874,0.7175805539853024,0.7580770379217677,13480,1553,2498,6347
Elegida con distribution_channel,0.8303459251193567,0.8034177215189874,0.7175805539853024,0.7580770379217677,13480,1553,2498,6347
testing con distribution_channel,0.8033336125303627,0.8001736362320938,0.6252119841718485,0.701954810865702,13652,1381,3315,5530
testing con assigned_room_type,0.7984755842197839,0.7959782768237194,0.6131147540983607,0.6926810576063355,13643,1390,3422,5423
testing con customer_type,0.7919842532875451,0.7873443983402489,0.6006783493499152,0.6814596293208491,13598,1435,3532,5313
testing con booking_changes y special ,0.7872518636401709,0.7896599476842591,0.5802148106274732,0.6689259645464025,13666,1367,3713,5132
testing con required_car_parking_spaces con company,0.7779546025630287,0.7735062528948587,0.5664217071791973,0.6539616238089022,13566,1467,3835,5010
testing con required_car_parking_spaces sin company,0.7751905519725271,0.776347162613257,0.5521763708309779,0.6453488372093024,13626,1407,3961,4884
testing con company,0.7686992210402881,0.7733706385780118,0.5312605992085925,0.6298505462100396,13656,1377,4146,4699
testing con is_repeated_guest,0.7680291481698635,0.7711614173228346,0.5314867156585642,0.6292751489190818,13638,1395,4144,4701
testing2,0.7676103526258481,0.7781904118838623,0.5211984171848502,0.6242805877175164,13719,1314,4235,4610
testing con is_repeated_guest sin company,0.7661445682217941,0.7749114820435002,0.5196156020350481,0.6220898754737412,13698,1335,4249,4596
testing con is_repeated_guest sin company,0.7661445682217941,0.7749114820435002,0.5196156020350481,0.6220898754737412,13698,1335,4249,4596
